state,population,machine_gun,silencer,short_barreled_rifle,short_barreled_shotgun,guns_total
Alabama,4874747,26307,48118,5285,2294,82004
Alaska,739795,1650,6040,1783,1302,10775
Arizona,7016270,16874,40485,13695,2340,73394
Arkansas,3004279,5319,19979,3266,1158,29722
California,39536653,29047,15044,10796,13675,68562
Colorado,5607154,7206,28378,6804,1775,44163
Connecticut,3588184,52965,10819,3951,1007,68742
Delaware,961939,585,326,233,644,1788
District of Columbia,693972,5086,389,848,1103,7426
Florida,20984400,36194,85998,27092,8710,157994
Georgia,10429379,29525,63021,11755,11397,115698
Hawaii,1427538,413,163,59,62,697
Idaho,1716943,4135,23475,3100,483,31193
Illinois,12802023,33646,3672,2678,1721,41717
Indiana,6666818,19190,34630,6361,8974,69155
Iowa,3145711,3508,6490,604,1003,11605
Kansas,2913123,3679,20948,3195,1048,28870
Kentucky,4454189,14774,27733,3927,1863,48297
Louisiana,4684333,6803,48903,5385,1758,62849
Maine,1335907,5378,3371,2084,475,11308
Maryland,6052177,25134,16183,5078,3935,50330
Massachusetts,6859819,6682,9565,2977,977,20201
Michigan,9962311,15142,18381,4042,1379,38944
Minnesota,5576606,8262,16272,3972,1124,29630
Mississippi,2984100,4392,16745,2833,869,24839
Missouri,6113532,9588,21271,5839,2638,39336
Montana,1050493,2368,13471,1505,466,17810
Nebraska,1920076,2226,9790,1944,837,14797
Nevada,2998039,11752,18563,7476,1546,39337
New Hampshire,1342795,22468,31144,4895,531,59038
New Jersey,9005644,8006,1331,1664,2559,13560
New Mexico,2088070,3887,9241,2815,732,16675
New York,19849399,12687,4134,6321,7591,30733
North Carolina,10273419,12629,37283,9297,3124,62333
North Dakota,755393,1586,7512,974,285,10357
Ohio,11658609,21561,52495,8352,6002,88410
Oklahoma,3930864,9347,37055,5005,1777,53184
Oregon,4142776,6487,24072,5283,1509,37351
Pennsylvania,12805537,18752,39924,10779,13134,82589
Rhode Island,1059639,636,33,170,109,948
South Carolina,5024369,8877,50647,5456,4020,69000
South Dakota,869666,1874,13949,787,200,16810
Tennessee,6715984,14144,27040,7274,6029,54487
Texas,28304596,36534,242859,43354,8199,330946
Utah,3101833,6884,42406,4930,1380,55600
Vermont,623657,1202,1246,433,149,3030
Virginia,8470020,34074,44012,16599,8389,103074
Washington,7405743,4345,31180,7173,987,43685
West Virginia,1815857,6761,6915,1715,1069,16460
Wisconsin,5795483,7443,19010,4684,1267,32404
Wyoming,579315,1790,8294,1087,396,11567
