State,Democrat,Republican,Other
Alabama,34.36,62.08,3.56
Alaska,36.55,51.28,12.17
Arizona,45.13,48.67,6.2
Arkansas,33.65,60.57,5.78
California,61.73,31.62,6.65
Colorado,48.16,43.25,8.59
Connecticut,54.57,40.93,4.5
Delaware,53.09,41.72,5.19
District of Columbia,90.48,4.07,5.45
Florida,47.82,49.02,3.16
Georgia,45.64,50.77,3.59
Hawaii,62.22,30.03,7.75
Idaho,27.49,59.26,13.25
Illinois,55.83,38.76,5.41
Indiana,37.91,56.82,5.27
Iowa,41.74,51.15,7.11
Kansas,36.05,56.65,7.3
Kentucky,32.68,62.52,4.8
Louisiana,38.45,58.09,3.46
Maine,47.83,44.87,7.3
Maryland,60.33,33.91,5.76
Massachusetts,60.01,32.81,7.18
Michigan,47.27,47.5,5.23
Minnesota,46.44,44.92,8.64
Mississippi,40.11,57.94,1.95
Missouri,38.14,56.77,5.09
Montana,35.75,56.17,8.08
Nebraska,33.7,58.75,7.55
Nevada,47.92,45.5,6.58
New Hampshire,46.98,46.61,6.41
New Jersey,54.99,41,4.01
New Mexico,48.26,40.04,11.7
New York,59.01,36.52,4.47
North Carolina,46.17,49.83,4
North Dakota,27.23,62.96,9.81
Ohio,43.56,51.69,4.75
Oklahoma,28.93,65.32,5.75
Oregon,50.07,39.09,10.84
Pennsylvania,47.46,48.18,4.36
Rhode Island,54.41,38.9,6.69
South Carolina,40.67,54.94,4.39
South Dakota,31.74,61.53,6.73
Tennessee,34.72,60.72,4.56
Texas,43.24,52.23,4.53
Utah,27.46,45.54,27
Vermont,56.68,30.27,13.05
Virginia,49.73,44.41,5.86
Washington,52.54,36.83,10.63
West Virginia,26.43,68.5,5.07
Wisconsin,46.45,47.22,6.33
Wyoming,21.63,67.4,10.97
