state,guns_registered,guns_per_capita,n_laws
Alabama,161641,33.15,2
Alaska,15824,21.38,1
Arizona,179738,25.61,2
Arkansas,79841,26.57,1
California,344622,8.71,7
Colorado,92435,16.48,4
Connecticut,82400,22.96,7
Delaware,4852,5.04,3
District of Columbia,47228,68.05,5
Florida,343288,16.35,2
Georgia,190050,18.22,1
Hawaii,7859,5.5,4
Idaho,49566,28.86,0
Illinois,146487,11.44,4
Indiana,114019,17.1,2
Iowa,28494,9.05,3
Kansas,52634,18.06,1
Kentucky,81068,18.2,1
Louisiana,116831,24.94,1
Maine,15371,11.5,2
Maryland,103109,17.03,5
Massachusetts,37152,5.41,6
Michigan,65742,6.59,2
Minnesota,79307,14.22,2
Mississippi,35494,11.89,1
Missouri,72996,11.94,1
Montana,22133,21.06,0
Nebraska,22234,11.57,3
Nevada,76888,25.64,3
New Hampshire,64135,46.76,1
New Jersey,57507,6.38,5
New Mexico,97580,46.73,1
New York,76207,3.83,6
North Carolina,152238,14.818,3
North Dakota,13272,17.56,1
Ohio,173405,14.87,1
Oklahoma,71269,18.13,1
Oregon,61383,14.816,4
Pennsylvania,236377,18.45,4
Rhode Island,37152,3.98,2
South Carolina,105601,21.01,1
South Dakota,21130,24.29,2
Tennessee,99159,14.76,2
Texas,588696,20.79,2
Utah,72856,23.48,2
Vermont,5872,9.41,1
Virginia,307822,36.34,2
Washington,91835,12.4,4
West Virginia,35264,19.42,2
Wisconsin,64878,11.19,2
Wyoming,132806,229.24,1
